word,part_of_speech,definition
qili’,Verb,laugh. maqili/mayli. makapakaqili.
qi’lig,Adjective/Adverb/Stative,"have a taste for, be fond of. maqilig, makiqilig."
qimpi’s,Adjective/Adverb/Stative,"thin. maqimpis, meqimpis, kayimpis, kasingimpis."
qimpi’s,Verb,impisan ‘make something thin’; mipayimpis ‘made too (very) thin’.
qimu’q,Verb,"wash face. manqimuq/manimuq, imwan."
-imu’t,,See qimu’t ‘stingy’.
-qi’naq/-i’naq,Verb,"minaq, miminaq ‘grow weak’."
-qi’naq/-i’naq,Adjective/Adverb,"maqinaq, mainaq ‘be weak’."
qinu’m,Noun/Verb,drink.
qinu’m,Noun,inuman ‘place to drink; thing to drink’. pa:maninum/pa:manqinum; i:num ‘thing drunk’.
qinu’m,Verb,"minum, miminum, ininum/qinqinum, a:yinum, na:nqinum, pa:qinuman, pa:ninum."
qinu’m,Adjective/Adverb,"maqinum ‘potable’. meqinum, makiqinuman; makaqinum ‘drunk’;"
qi’ngat,Verb,"beware, take care. mimingat, miningat, ma:ningat; ingatan,"
-qinggit/-inggit,Adjective/Adverb,maqinggit ‘be envious’.
qi’sip,Verb,"think. mi:sip, minisip, makiqisip, pakiqisip, isipan, inisip; pa:qisip, a:yisip; pa:misipa."
qi’sip,Adjective/Adverb,"maqisip ‘thoughtful’. pekamayisip, kasingqisip."
qisi’s,Verb,"annual or bi-annual scrubbing of houses. ma:nisis, pa:yisis, a:yisis, pakiqisis, makiqisis."
qisi’s,Adjective/Adverb,"maqisis, meqisis, makaqisis."
qisi’s,Noun,"pa:manisis/pa:manqisis, pekaqisis."
qisla’ng,Noun,“slang” (speech with an American accent).
qisla’ng,Verb,magqislang.
qisto’rya,Noun,history; story.
qisto’rya,Verb,magqistorya ‘tell a story’; manqistorya; qistoryan ‘tell about something’; makiqistorya.
qisto’rya,Adjective/Adverb,maqistorya ‘talkative’.
qos,Verb,"wash (dishes, feet). manos, menos, pakiqos, pa:qos, a:qos, pa:nwasan, inoqos, makaqos."
qos,Noun,pa:manqos.
qospita’l,Noun,hospital.
qospita’l,Verb/Stative,"inqospital, meqospital, maqospital, makaqospital, pa:qospital, mangaqospital."
qu,Adjective/Adverb,maqu’ ‘thirsty’.
qukyat,Verb,"climb, ascend. mukyat, manqukyat, pa:qukyat, a:yukyat, iqukyat, pakiqukyat, pa:nukyatan, pa:ukyatan, miyukyat."
qukyat,Noun,pa:manukyat.
qukyat,Adjective/Adverb,"maqukyat, mequkyat, makaqukyat."
quru’d,Verb,"hair-cut. ma:nqurud, inqurud, pa:qurud, ururan, pa:qururan."
qu’yab,Verb,"yawn, belch (?). ma:nquyab/ma:nuyab."
iq,Noun,urine.
iq,Verb,"miq ‘urinate’. mimiq, miniq."
iq,Adjective/Adverb,paliq.
iba’t,Noun/Verb,"origin, source; come from. (Prep.) ibat ‘starting from’."
iba’t,Noun,"ibatan, pibatan, pa:nibatan."
iba’t,Verb,"manibatan, menibatan, pa:nibatan; kaibatibat ‘just came from’."
iba’t,Qualifier,"kaibat ‘afterwards, then’."
i’be,,See qibe ‘dizzy’. ibie’/ibye’ [i-+ bye/?]
i’be,Verb,"give. ibie, (i)babye, binye, bibye; mye, munye, makaibye, makibyebye, a:ibye, pa:ibye, mipabye, pamamye, pemamye, pamye, pemye, pakibye."
ibpa’q/igpa’q,Noun,father (somewhat formal). Ibpa Mi ‘Our Father (Lord’s prayer)’.
-ibu’g/-qibu’g,Adjective/Adverb,"maibug ‘be accustomed to something, have a taste for something’."
-ik/-nik,Verb,"go up; enter (go up the ladder) a house. manik, menik, ipanik, a:panik, makapanik, pa:manik, pa:panik, pa:manikan ‘the-going-up’ (a stage in courtship)."
i’ka,Pronoun,"you (sing.), ing-case; short form: ka."
i’kab,Verb,belch.
ikami’,Pronoun,we (not address); alternates with ike; short form: kami/ke.
i’kat,Verb,"braid. mikat, mimikat, minikat, makaikat, pakiikat, pa:yikat, a:yikat, mipanikat, ikatan, inikat, i’kat"
i’kat,Noun,pa:manikat ‘braiding’.
i’kiq,Noun,tail.
i’kiq,Adjective/Adverb,makiikiq ‘having a tail’.
i’kit,Verb,see; see akit. ikit ‘saw something’; miikitikit ‘see each other regularly’; pikitan ‘meet someone’.
igi’q,Noun,nickname for Miguel.
-igli’p,Adjective/Adverb/Stative,drowsy.
-igli’p,Verb,magpaiglip ‘dozing off’.
igpit,Verb,"igpitan ‘tighten something’. manigpit, mangaigpit, makiigpit, pa:igpit, a:igpit, ke:igpit, maipanigpit, kayigpitan."
igpit,Noun,pa:manigpit; igpitan ‘a special enclosure in (stage after the biyayan nursery) ’.
igpit,Adjective/Adverb,"maigpit, meigpit, makaigpit, kasingigpit,"
igu’q,Noun,"a round woven basket, 2-3 inches in depth, used in winnowing rice. Tagalog bila-o. igwa’1"
igu’q,Qualifier/Verb/Stative,equal (used especially in arithmetic).
ila,Pronoun,"they, ing-case; short: la."
ili’,,"See qili ‘laugh’. mayli, makakayli, pakailyan, ke:ilyan, mipakaili, makaili, makapakaili, maili, meili."
ili’,Noun,pa:mangayili’.
ili’b,Noun,roofs of cogon grass [see n on a trip to Olongapo]; see talahib/talayib.
-i’lig,Adjective/Adverb,"mailig ‘have a taste for, be interested in’. makailig, mikiilig, kailigan, pekamakailig."
-i’lig,Verb,iqilig ‘bend something’. a:pailig. See qi’lig.
i’lug,Noun,river. kailugan ‘the main river’.
i’lut/hi’lut,Noun,"a curer (specialist in massage, sprains, bone setting)."
i’lut/hi’lut,Verb,ilutan ‘have something treated by a hilut’.
imbi’s/imbe’s,Qualifier/Preposition,instead of. [usually followed by king].
imbu’du,Noun,funnel.
impi’s,,See qimpi’s ‘thin’.
imu’q,Verb,"wash face. manimuq, makapanimuq, imuwan, inimuq, pakiimwan, panimwan, a:yimuq."
imu’q,Adjective/Adverb,"maimuq ‘(face)washed’, meimuq, makaqimuq."
imu’t/qimu’t,Adjective/Adverb/Stative,"stingy. maqimut, kaqimut."
ina’ta,,? (plants growing under water).
-ina’wa/paqina’wa,Verb/Stative,"rest. makapainawa, pa:inawan, pa:inawa."
-ina’wa/paqina’wa,Noun,kapainawan.
ina:yina’k,Noun,godchild.
ina:yina’k,Verb,pa:inainak.
indam,,"See andam, dam."
indu’/inda’q,Noun,mother.
ine’ksyun/inye’ksyun,Noun,"injection, innoculations. [some speakers say: ileksyun/paileksyun, ileksyu]."
ine’ksyun/inye’ksyun,Verb,"manineksyun, makapanineksyun, pakiqineksyun, pa:ineksyun, pa:nineksyu, a:ineksyun, pa:nineksyun."
ine’ksyun/inye’ksyun,Adjective/Adverb,maqineksyun.
ine’te,Noun,one who tends a horse or carabao; jockey.
ine’te,Verb,magqinete.
ini’,Pronoun,"this, ing-case."
ini’p/ine’p,Verb,dream; see -ninap.
ini’p/ine’p,Adjective/Adverb,"mainip ‘lonely, daydreaming; absent-minded’. makainip, pekamainip, ke:inip."
insa’yuq,Verb,practice.
i’sek,,(Eng. ‘insect’); see ayupqayu’pan.
inti’ndi,Verb,"understand. manatindi, menatindi, makapaintindi, panatindi, mipanatindi, a:intindian, pa:intindi."
inti’ndi,Noun,pa:manatindi.
i’nudo’ru,Noun,toilet.
inu’m,,See qinu’m ‘drink’.
inu’m,Noun,inuman ‘drink’; pinuman ‘drinking jar’.
inu’m,Verb,minum ‘drink’.
inyad,,"See manyad, manyawad."
ing,Particle,"singular, marks topic or emphasized noun"
i’ngat,,"See qi’ngat ‘beware, watch out for’."
i’ngat,Noun,ingat-bandi ‘treasurer’.
i’ngat,Verb,"ingatan, ipakiqingat."
ingkung/ingkong,Noun,grandfather.
-inge/ingi,Noun,noise.
-inge/ingi,Adjective/Adverb,mainge ‘be noisy’.
ipagmatu’lid,Noun,discuss something to straighten out a problem; see tulid.
i’pan,Noun,tooth. pisti’song i’pan ‘filed teeth’.
i’pas,Noun,cockroach.
i’pas,Adjective/Adverb,maqi’pas ‘cockroach-infested’.
i’pe,Noun,measles.
i’pe,Verb,"manipe, menipe/minipe."
i’pil,Noun,a kind of hardwood tree.
ipuqi’pu,Noun,"whirlwind, cyclone."
i’pus,Noun,servant.
i’pus,Verb,"manipus, pa:ipus, makiqipus."
irap,Noun,eyelash.
irap,Verb,irapan ‘wink at someone’.
isa’k,Adjective/Adverb,maisak ‘small (stream)’.
iskilado’r,Noun,barber’s clippers (hand-powered).
i’skuq,Noun,"male nickname, from Francisco."
iskwalaq,Noun,"tri-square, a carpenter’s tool."
i’sik,Noun,Chinese.
i’sik,Adjective/Adverb,makiqisik ‘having Chinese’; makaqisik ‘pro-Chinese’.
i’sip,,"See qi’sip ‘think’. misip, manisip, menisip, makiqisip, pakiqisip, a:isip, pa:yisip, mipanisip, pa:misipan, isipan."
i’sip,Noun,pa:manisip; kaisip ‘one who thinks the same’; pa:misip ‘mind’; kaisipan.
i’sip,Adjective/Adverb,"maisip, meisip, makaisip, pekamaisip."
isi’s,,See qisi’s ‘scrub house’.
isla’ng,,See qisla’ng ‘American accent’.
ispa’da,Noun,one of the suits of cards in the game of
ispaso’l,Noun,"a treat, delicacy, such as candy–a rather dry sort of cookie-like pastry."
ispo’il,,(Eng. ‘spoil’).
ispo’il,Verb,"manispoil, makaispoil, pa:ispoil, inispoil."
istaka,Noun,"stake, as bamboo stakes around a plant to protect it; nipa branches lined up in a fishpond to prevent lumot from being disturbed by wind. pa:manistaka."
istaka,Verb,"manistaka, pa:istaka, istakan, inistaka/inistakan, makapanistaka, pakiistaka, makiistaka, a:istakan, miistakan."
istaka,Adjective/Adverb,"maistaka, meistaka, makaistaka."
iste’tsayd,,"(Eng. ‘stateside’), top-quality."
isto’rya,,"See qisto’rya ‘story, history’."
istu’ng/ustu’ng,Subordinating Conjunction,"‘when, if’."
ita’,Pronoun,"that (near-by), ing-case."
i’taq,Noun,thigh; the place where legs join trunk.
itcu’ra,Noun,appearance. deqitcura.
itcu’ra,Verb,"pa:itcura, pakiitcuran, itcuran ‘recognize someone’, initcuran, pa:nitcuran, ayitcuran."
itcu’ra,Adjective/Adverb,makiitcura; (matcura ‘ugly’)?.
itu,Noun,"son [generally a term of address used by an adult to a boy, not necessarily his own son]."
i’tuq,Noun,catfish or carp.
laba’,Verb,"wash clothes, do laundry. maglaba, makapaglabada, pa:labada. laba’a/labaqa, labaqas,"
labasa,Noun,razor.
laba’k,Noun,"lake, swamp, marsh."
la’ban,Verb,"oppose, compete, fight against. laban-asbuk ‘argue’; lalaba, le:ba, makilaban, pakipaglaban, pa:laba, a:kalaban, pilalaban, ke:laba."
la’ban,Noun,"kalaban ‘opponent’. milalaban, akalaban, pakalaban ‘thing go oppose with’, pa:laban ‘the fight promoter’."
labanu’s,Noun,radish.
-labang,Noun,lalaba’ngan ‘carabao shed’.
labas,Verb,"pass by, pass through (in the process of leaving, going out). lalabas, linabas, labas, makilabas, milabas."
labati’ba,Noun,enema.
labati’ba,Verb,labatiban ‘give someone an…’.
labentado’r,Noun,firecracker.
la’biq,Noun,lip(s).
la’biq,Verb,lalabian ‘stick lip out at someone’.
la’biq,Adjective/Adverb,malabiq ‘having big lips’; kalabiq.
labi’q,Noun,"excess, what is left-over, survivor. labing-metung ‘elevent’; labing-aduaq ‘twelve’; labing-atlu ‘thirteen’; [etc.]."
labi’q,Verb,labi ‘survive something’.
labi’t,Verb,"lalabit ‘blabber, chatter without stopping’. maglabit."
labi’t,Adjective/Adverb,malabit ‘talkative’.
labla’b,Adjective/Adverb,"malablab ‘get big, swell up (of flames, of the surface of a fishpond)’."
labla’b,Verb,"pa:lablab, pa:lablaban."
-labsa’q,Adjective/Adverb,malabsaq ‘cooked with too much water’.
labua’d/labwad,Noun,"ground, earth."
la’buk,Noun,topsoil in a rice paddy.
-la’bug,Adjective/Adverb,malabug ‘murky (water); blurred (vision)’.
la’bul,Verb,"blow air into something. labulan, lalabulan, le:bulan."
la’bung,Noun,"young leaf, shoot (bamboo)."
la’bung,Adjective/Adverb,malabung ‘leafy (healthy)’.
labwa’d/labua’d,Noun,earth. tibuan-labuad ‘native land’; mabilug a labwad ‘the whole earth’; taung labuad ‘a native’.
la’kad,Verb,walk. lalakad; pa:lakaran ‘send on an errand’.
la’kad,Noun,"gait, pace; course. lakad ning panaun, pa:maglakad."
laka’l,Noun,a woven rattan ring for supporting round-bottomed pots on flat surfaces.
la’kan-da’nup,Adjective/Adverb,having an appetite; see danup.
lakata’n,Noun,glutinous rice; white corn; a kind of baa.
lakba’ng,Noun/Verb,"pace, stride, step. lalakbang, linakbang."
lakla’k,Verb,"devour, eat like a pig. laklakan, lalaklakan, liklak."
lako’,Verb,"remove, delete, detach, eject, send away. ilako ‘remove something’; le:ko, lakwan ‘leave someone’; likwan, milako, milako a male-tau ‘fainted’; pakilako, pa:lakwan."
lako’,Noun,pa:kalako ‘instrument to remove’.
lakto’,Verb,"maglakto ‘skip, omit something’."
lakwa’tsa,Noun,one who wastes time.
lakwa’tsa,Verb,maglakwatsa.
ladla’d,Verb,"spread out, display. iladlad ‘spread something out’; laladlad. la’it/la’qit,"
la’yit,Noun,"scythe, a curbed bolo used in cutting palay. kalait ‘hook’."
la’yit,Verb,"laitan ‘cut something with lait’. a:lait; kalaitan ‘catch something with a hook’; ke:lait, pangalaitan/pangkalaitan."
lagaq,Verb,"boil. ilagaq, linagaq."
-la’gad,Adjective/Adverb,"malagad ‘seldom, rarely’."
laga’nas,Adjective/Adverb,"all, everything, constant, entire."
laga’nas,Verb,laganasan.
laga’riq,Noun,carpenter’s saw.
laga’riq,Verb,"maglaragiq ‘saw’. lagari(an) ‘saw (something specific)’, le:gariq."
laga’riq,Adjective/Adverb,"malagariq, melagariq."
laga’yan,Noun,"one who easily see s (is in communication with?) spirits. [This communication/apparition is said to take place most often on rainy Friday afternoons]; see lage, maglalage. L"
lage,Verb,"appear, come out, bring out or put on (a performance). lage, lalage, ipalage ‘relax’; pa:lage ‘opinion’; milage ‘appeared, presented, served’."
lage,Noun,"maglalage ‘spirit(s), apparition; see lagayan. pa:maglage ‘appearance’."
lagiti’k,Noun,"a creaking noise, sound."
lagiti’k,Verb,"maglagitik, lalagitik."
laglag,V./Adjective/Adverb,"loose, falling off, parting company. lalaglag, ipalaglag, malaglag."
lagna’t,Noun,fever.
lagna’t,Adjective/Adverb,"malagnat, mangalagnat."
lagna’t,Verb,"ke:lagnat, lagnat, lalagnat, linagnat."
lagpas,Verb,"lagpasan ‘pass over’. lalagpasan, ligpasan."
lagu’q,Noun,beauty.
lagu’q,Adjective/Adverb,"malaguq, kalaguq, melaguq."
lagu’q,Verb,"lalaguq, la:guq."
-lagwa’q,Adjective/Adverb,"malagwaq ‘fast, swift, quick’."
-lagwa’q,Verb,"lalagwaq ‘do something fast’. ma:malagwa’q; pa:lagwa; pa:malagwa ‘expedite something’; malagwat-salitaq ‘in short, in a few words, to made a long story short’."
lagyu’q,Noun,name. kalagyuq ‘one with the same name as another’.
lagyu’q,Verb,"pa:lagyuq, a:palagyuq, pa:lagwan (?palagyuwan), pa:malagwan, pa:malagyuq."
la’hi,Noun,"species, race, kind."
la’la,Verb,maglala ‘weave’. lalan ‘weave into something’; lalandase ‘woven
lala’ki,Noun,"male, man, (pl.) la:laki."
lala’ki,Verb,magpakalalaki ‘act like a man’.
la’lam,Noun,"the underneath-area; depth; (speech) old, fancy, obscure."
la’lam,Adjective/Adverb,"malalam ‘deep, below’ malalam, pekamalalam ‘deepest’; mipalalam ‘been put under’."
la’lang,Verb,"create, contrive."
lalbe,,See -albe.
lalbug,,"See albug, kalbug."
lalong,,See lawe.
lalput,Verb,pass by; spill over.
la’lu,Stative/Adjective/Adverb/Noun,"excess. pangalalu ‘envy, jealousy’; mangalalu ‘be envious; milalalu; mapangalalu; lalung marok ‘worse’; lalung marayuq ‘farther’."
lamalyo’rka,Noun/Adjective/Adverb,name of a bus line; a family name; kind of labi’t [yellow-orange melon and buses].
la’man,Noun,"contents; fleshy. kalam ‘contents, table of’."
la’man,Adjective/Adverb,malaman.
lamaran,Verb,maglamaran ‘stuff oneself greedily’.
la’mat,Noun,"crack (in a glass, pottery)."
la’mat,Adjective/Adverb,makilamat.
lamba’t,Noun,a kind of net.
-lamba’t,Adjective/Adverb,malambat ‘a long time (ago)’.
lambi’ng,Noun,affection.
lambi’ng,Adjective/Adverb,"malambing, melambing, malambing a musika ‘flowing music’."
lambi’ng,Verb,maglambing.
lambi’s,Noun/Verb,caress.
lambi’s,Adjective/Adverb,malambis.
lambu’t,Adjective/Adverb,malambut ‘soft’.
lambu’t,Verb,"pa:lambut, mangalambut ‘feel weak, limp’."
-la’me,Verb,"offer condolences, attend a wake. maglame, makipaglame."
lame’sa,Noun,table.
la’mpara,Noun,"kerosene lantern, lamp."
lampi’n,Noun,diaper(s).
-lana’m,Adjective/Adverb,malanam ‘smell or quality of rotting fish’.
lana’t,Adjective/Adverb,"a quality of fruits. [opposite of malambut, mibawiq]."
lande’,Noun,"slat, bamboo slat."
landi’q,Verb/Stative,"be in heat. maglandiq, makapaglandiq, makilandiq, paglandian, pakilandian, ke:landian, a:landiq."
landi’q,Adjective/Adverb,"malandiq, melandiq, pekamalandiq."
landi’q,Noun,"kalandian ‘(promiscuity?), the fact of being in heat’, pipaglandian."
lanso’nis,Noun,a kind of fruit.
la’nduy,Verb,makilanduy ‘play hide-n-see k’.
lanti’k,Verb,"bend, arch body. pa:lantik."
lanti’k,Adjective/Adverb,malantik.
-lantu’ng,Adjective/Adverb,"malantung ‘horny, sexually eager’."
langgo’ci,Noun,burlap bag.
langi’q,Verb,"get dry, dry something. lalangiq, pa:langian, a:palangiq."
langi’q,Adjective/Adverb,malangiq ‘dry’.
langib,Noun,scar.
la’ngo,Noun,housefly.
la’ngo,Adjective/Adverb,malango ‘fly-infested’.
la’pad,Noun,width.
la’pad,Adjective/Adverb,"malapad ‘wide, thick’."
la’pat,Adjective/Adverb,"exact, fit, adjusted."
la’pat,Verb,ilapat ‘adjust something’.
la’pat,Noun,pangalapat.
lapi’rut,Verb,pinch (a small amount of skin).
la’pis,Noun,pencil.
la’pit,Verb,"lapitan ‘draw near to something’. linapit, lumapit, milapitan, a:lapit, a:kalapit."
la’pit,Adjective/Adverb,"malapit ‘near, adjacent’."
lapu’,Verb,"overflow. lalapo, linapu, lumapu, maglapu, mangalapu, pa:lapawan, a:palapo."
la’raq,Noun,pepper.
lara’m,Noun,"lie, falsehood. kalaraman."
lara’m,Verb,maglaram.
lara’wan,Noun,"image, picture."
-lare’,Adjective/Adverb,"malare ‘pink, rosy, (ivory)’."
larga,Verb,"proceed, let…loose. linarga ‘let loose, given slack’."
laruq,Noun,"oil (usually from coconuts, used formerly–now, by old women– as a hair dressing); also applies to vegetable oils, motor oil."
la’sa,Noun,"flavor, taste."
la’sa,Verb,"suffer. lalasa, linasa, pa:lasan, a:palasan."
lasa’k,Verb,"lasakan ‘destroy something’. lesakan, maglasak, makapaglasak, mangalasak, pakilasak, pa:lasak, a:lasak, pa:nlasak, ke:lasak."
lasa’k,Adjective/Adverb,malasak ‘torn down’.
lasa’w-/laso’,Verb,lasawan ‘digest something’.
lasa’w-/laso’,Adjective/Adverb,"malaso ‘digestable, dissolved’. maglasu-anak ‘have an abortion (miscarriage?); pa:lasu, makalasu, pa:nlaswan, pa:nlasu, a:laso, ke:laso."
lasa’w-/laso’,Noun,pa:manlaso.
-lase’bu,Adjective/Adverb,malasebu ‘half-ripe (fruits)’.
lase’nggu,Noun,drunkard.
lase’tas,Noun,"knife, jack knife. lase’tang batangge’nyu ‘switchblade’."
laso,,See lasaw-.
la’suq,Noun,ribbon; also some sort of mouth sore.
lasu’n,Noun,poison. pa:maglasun.
lasu’n,Verb,"lasu ‘poison someone/thing’; le:su, maglasun, makapaglasun, makilasun, pakilasun, pa:lasun, a:lasun, ke:lasun, mangalasun, pinlasun."
lasu’n,Adjective/Adverb,"malasun, melasun."
la’ta,Noun,tin can. tukong lata ‘e'g. square kerosene can’; barungga-lata ‘kick-the-can (a children’s game)’.
-lati’q,Adjective/Adverb,malatiq ‘small’.
-lati’q,Verb,"lalatiq ‘grow small’; ilatiq ‘make something smaller’; magmalatiq, magpalatiq, pa:latian, mipalatiq."
-lati’q,Noun,kalatian.
lati’k,Noun,a sauce of sugar and toasted coconut.
lati’k,Adjective/Adverb,malatik ‘a phase of the moon when it is small’.
latu’ndan,Noun,a kind of baa.
lau’n/lawu’n,Adjective/Adverb,"old, worn out; dehydrated, dessicated."
la’us/la’wus,Verb,"proceed, continue. malaus, melaus ‘old, useless’."
-la’ut/la’wut,Adjective/Adverb,malaut ‘far’.
la’was,Noun,"sluice, irrigation gate."
-la’we,Verb,"look at; see lon, lalon, lawen. maglawe, lalawe, linawe, lumawe, pa:lawe, lawan ‘look at something’, lawen, lawenlawen, lon, lalon,"
la’ya,Noun,ginger.
la’yag,Verb,maglayag ‘sail’.
laypan,Noun,centipede.
layu,Noun,a Christmas-eve celebration (in Candaba)–singing between two groups who represent the Holy Family and the people of
legayan,Noun,one stalk of rice.
le’gwas,Noun,"league, a measure of distance. [usually restricted to story-telling]."
lele,Noun,"border, edge, side."
le’lut,Noun,rice gruel.
le’lut-manu’k,Noun,a chicken-and-rice stew or porridge; see lulut.
lenggwa’e,Noun,language.
letra’tu,Noun,"picture, photograph."
li’bad,Noun,twists-and-turns.
liba’ng,Verb,maglibang ‘enjoy oneself’.
liba’ng,Noun,libangan ‘amusement’.
liba’ng,Adjective/Adverb,makalibang.
libatu’,Adjective/Adverb,malibatu ‘a stage in the maturity of mangos (between manibala’ng and malu’tu)’.
libe’/liba’y,Verb,"libayan ‘exchange something’. palibe, ipaglibe."
-libi’,Adjective/Adverb,"malibi ‘lustful, lascivious’. [an improper word]."
liblu’ban,Noun,portion or a rice field; see lubluban.
libru’,Noun,book.
li’bu,Noun,one thousand.
li’but,Verb,"lilibut ‘go around’. lumibut, maglibut, makalibut, pa:libut, a:libut,"
libu’tad,Stative,"center, centered. libutad ‘put something in center’; makalibutad."
libu’tad,Noun,kalibutdan.
li’kas,Verb,"remove contents from one place and put in another, transfer, translate; see lukas. lilikas, linikas, ilikas, pa:likas."
li’kas,Noun,talapaglikas ‘interpreter’.
-liksi’q,Adjective/Adverb,"maliksiq ‘agile, fast, skilled’."
-liku’t,Adjective/Adverb,"maliku’t ‘overactive, always moving, restless, (usually of children–in Filipino English the child is said to be “moveable”)’."
li’der,Noun,(Eng. ‘leader’) a political ward boss.
ligaq,Verb,boil.
ligat,Adjective/Adverb,"maligatligat ‘soft, sticky; smooth texture’. kaligatan ‘just right’."
li’gid,Verb,"liligiran ‘surround’. aligiran, pa:ligiran."
li’gid,Noun,paligid ‘surroundings’.
ligli’gan,Noun,contest.
-ligpi’t,Verb,"magligpit ‘arrange, straighten, fix, put in"
-ligtas,Adjective/Adverb,magligtas ‘safe’.
li’guq,Verb,liliguq ‘fishing’.
-ligwat,Noun,manaligwat ‘kidnapper (?)’.
-ligwat,Verb,"manaligwat ‘rifle, steal from’."
lihi’m/liqi’m,Adjective/Adverb,"secret, private. kaliqim, kaliqiman."
-lilyu,Adjective/Adverb,dizzy; see -lyu.
lima’,Numbers,five.
limba’g,Adjective/Adverb/Stative,"swollen. malimbag ‘published, printed’, melimbag."
limba’g,Noun,"pa:ngalimbag ‘edition, printing’, kaduanglimbag ‘second edition, printing’."
li’mbun,Noun,procession.
li’mbun,Verb,maglimbun.
limpuyuq/alimpuyuq,Noun,"mole, skin mark."
li’na,Noun,"a female nickname, from Rizalina."
li’nis,Verb,"maglinis ‘clean’. linisan, mangalinis, pa:linis."
li’nis,Adjective/Adverb,malinis ‘clean’.
-lino,Adjective/Adverb,mali’no ‘clear’.
lintik,Noun,"light shower, rainfall."
lintik,Verb,"lilintik, melintikan."
lintu’san,Adjective/Adverb,malintusan ‘blistered’.
lintu’san,Verb,memalintusan.
lingapnga’p,Adjective/Adverb,malingapngap ‘chucking under the chin’.
-lingasngas,Adjective/Adverb,malingasngas ‘worrisome’.
linggo’tci,Noun,"sack, burlap bag."
linggo’tci,Verb,"ilinggotci, pa:linggotci, makilinggotci, pakilinggotci."
linggo’tci,Adjective/Adverb/Stative,makalinggotci.
li’nggu,Noun,week; see duminggu. pa:ruminggu ‘one week’; peparuminggu.
linggwe’ta,Noun,"staple, something used to fasten corrugated iron roofing."
-lingo’,Adjective/Adverb,malingo’ ‘hysterical’.
lipa’k,Noun,callus; blister.
lipa’k,Adjective/Adverb,malipak ‘callused’.
lipa’k,Verb,maglipak.
lipaktu’ng,Noun,"a kind of insect (cricket, locust?)."
lipasa’g,Verb,maglipasag ‘wiggling’.
lipasa’g,Noun,pa:maglipasag.
li’pat,Verb,"move, transfer, change places. maglipat, ilipat, linipat, palipatan, makilipat, pakilipat, palipatlipat, milipat."
li’pat,Noun,"pipaglipatan, pilipatan."
lipunga’/alipunga’,Noun,athletes’ foot.
-lisa’ng,Adjective/Adverb/Stative,"dislocated, disjointed. magalisang, milisang."
-lisa’ng,Verb,paglisang.
lisa’ngan,Noun,heat (an internal state?).
lisa’ngan,Adjective/Adverb,malisangan ‘warm (uncomfortable)’.
lise’nsya,Noun,license.
lise’nsya,Adjective/Adverb,lisensyadu ‘licensed’.
-lisi’k,Adjective/Adverb,malisik; see maliksiq.
lislis,Verb,"push up, roll up (sleeves, pants). lilislis, pa:lislis, a:lislis, maglislis, mangalislis."
lislis,Adjective/Adverb,"malislis, melislis, makalislis."
lisya’q,Verb,move over.
lisyu’n,Noun,lesson.
li’tid,Noun,"tendon, cartilage. lilitid."
li’tid,Verb,litiran ‘cut the tendon’. L
li’tru,Noun,"a liquid measure used with gasoline and kerosene; a dry measure used with palay, also the box used to measure palay. [six litru = one patiq]."
litsu’n,Noun,roat pig.
litsu’n,Verb,maglitsun.
liwalu’q,Noun,"a kind of fish, noted for its spines."
liwalu’q,Adjective/Adverb,"maliwaluq, Maliualu ‘a barrio of Bacolor famous for a massacre which took place there in the early 1950s’."
-liwa’nag,Adjective/Adverb,"maliwanag ‘bright, shining’. [sometimes used with kwalta ‘money’ to mean “jackpot”]."
li’was,Verb,take someone’s place; pass going in opposite directions and fail to meet.
liyas,Noun,small lice.
lo/lu,Pronoun,"(portmanteau) na + la; limited to occurrences with atin, alaq."
lo’bu,Noun,balloon.
lo’ku/lo’ko,Adjective/Adverb/Stative,crazy; also loka for females.
lo’ku/lo’ko,Verb,"lokwan ‘fool, tease someone’. pa:loku, a:loku, magloku."
-lo’lo,Verb,maglolo ‘court (a girl)’.
lolo’,Verb,"lololo ‘hang down long (a dog’s tongue, a dress)’."
loren,Noun,a male name.
loti,Noun,"lot, plot of land, subdivision. lotiloti ‘subdivision’."
lua’q,Noun,tear(s).
lua’q,Verb,luluaq ‘weep’.
lub,Noun,"inside, the interior of something; one’s soul, mind, feelings, sentiment, etc. work–something to go in to do. kaluban ‘holster, sheath’."
lub,Verb,"lulub, lungub, ilub, pa:luban pakilub."
luba’k,Adjective/Adverb,"malub, makalub."
luba’k,Verb,lubakan ‘loosen something’.
luba’k,Adjective/Adverb,malubak ‘be loose’.
luba’s,Adjective/Adverb/Stative,"naked, nude."
lu’bid,Noun,rope. lukswa-lubid ‘skip-rope’.
lublu’ban,Noun,one square of rice fields; see libluban.
lubulo’bu,Noun,the catching pond in a fishpond system.
lubu’s-lubu’san,Noun,"eating until satisfied, the manner of such"
-lu’kaq,Adjective/Adverb,"malukaq ‘humble, poor’."
-lu’kaq,Verb,pe:malukaq.
luka’s,Verb,"take off (clothes). lukas, likas, maglukas, paglukas, pa:lukas, a:lukas, ilukas."
luka’s,Noun,lukas-paldas ‘the removing of ceremonial
black,,(clothes or ribbon) one year after a family
luklu’k,Verb,"sit, take a seat."
luklu’k,Noun,"luklukan ‘seat, place to sit. pa:maglukluk ‘sitting’."
